STR,RES,import,dom,kuro,mark1,mark2,iprice,dprice,kprice
1005,0,0,0,1,0,1,0,0,420
1005,0,0,0,0,0,0,0,0,0
1006,1,1,0,0,0,0,98,0,0
1006,0,0,1,0,0,0,0,264,0
1006,0,0,0,1,0,0,0,0,382
1006,0,0,0,0,0,0,0,0,0
1007,0,1,0,0,0,0,150,0,0
1007,1,0,1,0,0,0,0,128,0
1007,0,0,0,1,1,0,0,0,344
1007,0,0,0,0,0,0,0,0,0
1008,0,1,0,0,0,0,202,0,0
1008,1,0,1,0,0,0,0,298,0
1008,0,0,0,1,0,1,0,0,458
1008,0,0,0,0,0,0,0,0,0
1009,1,1,0,0,0,0,124,0,0
1009,0,0,1,0,0,0,0,196,0
1009,0,0,0,1,0,0,0,0,420
1009,0,0,0,0,0,0,0,0,0
1101,0,1,0,0,0,0,98,0,0
1101,1,0,1,0,0,0,0,230,0
1101,0,0,0,1,1,0,0,0,458
1101,0,0,0,0,0,0,0,0,0
1102,0,1,0,0,0,0,176,0,0
1102,1,0,1,0,0,0,0,162,0
1102,0,0,0,1,0,1,0,0,344
1102,0,0,0,0,0,0,0,0,0
1103,0,1,0,0,0,0,124,0,0
1103,1,0,1,0,0,0,0,162,0
1103,0,0,0,1,0,0,0,0,268
1103,0,0,0,0,0,0,0,0,0
1104,0,1,0,0,0,0,228,0,0
1104,1,0,1,0,0,0,0,196,0
1104,0,0,0,1,1,0,0,0,306
1104,0,0,0,0,0,0,0,0,0
1105,0,1,0,0,0,0,150,0,0
1105,1,0,1,0,0,0,0,230,0
1105,0,0,0,1,0,1,0,0,420
1105,0,0,0,0,0,0,0,0,0
1106,0,1,0,0,0,0,98,0,0
1106,1,0,1,0,0,0,0,264,0
1106,0,0,0,1,0,0,0,0,382
1106,0,0,0,0,0,0,0,0,0
1107,0,1,0,0,0,0,150,0,0
1107,1,0,1,0,0,0,0,128,0
1107,0,0,0,1,1,0,0,0,344
1107,0,0,0,0,0,0,0,0,0
1108,1,1,0,0,0,0,202,0,0
1108,0,0,1,0,0,0,0,298,0
1108,0,0,0,1,0,1,0,0,458
1108,0,0,0,0,0,0,0,0,0
1109,0,1,0,0,0,0,124,0,0
1109,1,0,1,0,0,0,0,196,0
1109,0,0,0,1,0,0,0,0,420
1109,0,0,0,0,0,0,0,0,0
1201,0,1,0,0,0,0,98,0,0
1201,0,0,1,0,0,0,0,230,0
1201,1,0,0,1,1,0,0,0,458
1201,0,0,0,0,0,0,0,0,0
1202,0,1,0,0,0,0,176,0,0
1202,1,0,1,0,0,0,0,162,0
1202,0,0,0,1,0,1,0,0,344
1202,0,0,0,0,0,0,0,0,0
1203,0,1,0,0,0,0,124,0,0
1203,1,0,1,0,0,0,0,162,0
1203,0,0,0,1,0,0,0,0,268
1203,0,0,0,0,0,0,0,0,0
1204,0,1,0,0,0,0,228,0,0
1204,0,0,1,0,0,0,0,196,0
1204,1,0,0,1,1,0,0,0,306
1204,0,0,0,0,0,0,0,0,0
1205,0,1,0,0,0,0,150,0,0
1205,1,0,1,0,0,0,0,230,0
1205,0,0,0,1,0,1,0,0,420
1205,0,0,0,0,0,0,0,0,0
1206,0,1,0,0,0,0,98,0,0
1206,1,0,1,0,0,0,0,264,0
1206,0,0,0,1,0,0,0,0,382
1206,0,0,0,0,0,0,0,0,0
1207,0,1,0,0,0,0,150,0,0
1207,1,0,1,0,0,0,0,128,0
1207,0,0,0,1,1,0,0,0,344
1207,0,0,0,0,0,0,0,0,0
1208,0,1,0,0,0,0,202,0,0
1208,1,0,1,0,0,0,0,298,0
1208,0,0,0,1,0,1,0,0,458
1208,0,0,0,0,0,0,0,0,0
1209,0,1,0,0,0,0,124,0,0
1209,1,0,1,0,0,0,0,196,0
1209,0,0,0,1,0,0,0,0,420
1209,0,0,0,0,0,0,0,0,0
1301,0,1,0,0,0,0,98,0,0
1301,0,0,1,0,0,0,0,230,0
1301,1,0,0,1,1,0,0,0,458
1301,0,0,0,0,0,0,0,0,0
1302,0,1,0,0,0,0,176,0,0
1302,0,0,1,0,0,0,0,162,0
1302,1,0,0,1,0,1,0,0,344
1302,0,0,0,0,0,0,0,0,0
1303,0,1,0,0,0,0,124,0,0
1303,0,0,1,0,0,0,0,162,0
1303,0,0,0,1,0,0,0,0,268
1303,1,0,0,0,0,0,0,0,0
1304,0,1,0,0,0,0,228,0,0
1304,0,0,1,0,0,0,0,196,0
1304,1,0,0,1,1,0,0,0,306
1304,0,0,0,0,0,0,0,0,0
1305,0,1,0,0,0,0,150,0,0
1305,0,0,1,0,0,0,0,230,0
1305,0,0,0,1,0,1,0,0,420
1305,1,0,0,0,0,0,0,0,0
1306,0,1,0,0,0,0,98,0,0
1306,0,0,1,0,0,0,0,264,0
1306,0,0,0,1,0,0,0,0,382
